key,subject,englishFactualLabel,canonicalKey,aliasOf,safeFactualWording,canAppearWithCount,canAppearBesideMastery,status
physical_chemical_confusion,science,"a physical concept used where a chemical one was needed, or the reverse",physical_chemical_confusion,,true,true,true,approved
planet_confusion,science,a planet or celestial body that did not match,planet_confusion,,true,true,true,approved
ecosystem_confusion,science,an ecosystem level that did not match,ecosystem_confusion,,true,true,true,approved
animal_classification_error,science,an animal classification that did not match,animal_classification_error,,true,true,true,approved
comparison_error,math,a comparison that did not match the required relation,comparison_error,,true,true,true,approved
math_compare_relation_error,math,a comparison symbol that did not match,math_compare_relation_error,,true,true,true,approved
math_scale_operation_error,math,a scale operation that did not match,math_scale_operation_error,,true,true,true,approved
math_division_operation_error,math,a division operation that did not match,math_division_operation_error,,true,true,true,approved
math_remainder_error,math,a quotient or remainder that did not match,math_remainder_error,,true,true,true,approved
math_sequence_step_error,math,a step in a number sequence that did not match,math_sequence_step_error,,true,true,true,approved
math_ratio_order_error,math,ratio order that did not match,math_ratio_order_error,,true,true,true,approved
math_operation_order_error,math,operations computed left-to-right instead of by order of operations,math_operation_order_error,,true,true,true,approved
math_divisibility_classification_error,math,a divisibility conclusion that did not match,math_divisibility_classification_error,,true,true,true,approved
math_prime_composite_classification_error,math,a prime/composite classification that did not match,math_prime_composite_classification_error,,true,true,true,approved
math_power_as_multiplication_error,math,the base multiplied by the exponent instead of a power calculation,math_power_as_multiplication_error,,true,true,true,approved
math_identity_property_error,math,an identity (zero or one) property used incorrectly,math_identity_property_error,,true,true,true,approved
math_estimation_strategy_error,math,an estimate used where an exact result was required,math_estimation_strategy_error,,true,true,true,approved
math_gcd_smaller_input_error,math,a greatest-common-divisor choice that did not match,math_gcd_smaller_input_error,,true,true,true,approved
