key,subject,producerProof,taxonomyId,existingEnglishLabel,proposedFactualEnglishLabel,aliasKeys,safeFactualWording,requiresRewrite,canAppearWithCount,canAppearBesideMastery,status
angle_range_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
transformation_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
symmetry_error,geometry,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
spelling_pattern_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
spelling_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
grammar_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
tense_error,english,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
agreement_error,math,supplemental_classifier_TEP,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
vocabulary_meaning_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
translation_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
preposition_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
phrasal_verb_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
sentence_structure_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
phonics_minimal_pair_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
vocabulary_context_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
grammar_agreement_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
reading_comprehension_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
homophone_confusion,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
homograph_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,homophone_confusion,false,true,true,true,missing_en_label
verb_tense_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
punctuation_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
speaking_expression_error,english,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
concept_confusion,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
variable_control_error,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
body_system_confusion,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
material_property_error,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
physical_chemical_confusion,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
planet_confusion,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
ecosystem_confusion,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
animal_classification_error,science,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
comparison_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_compare_relation_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_scale_operation_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_division_operation_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_remainder_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_sequence_step_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_ratio_order_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_operation_order_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_divisibility_classification_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_prime_composite_classification_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_power_as_multiplication_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_identity_property_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_estimation_strategy_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
math_gcd_smaller_input_error,math,REAL_RUNTIME_classifier,,,NEEDS_FACTUAL_REWRITE_FROM_HE_LABEL,,false,true,true,true,missing_en_label
